20091110194428	user32621	Will the fed extend the $8000 first time home buyer credit?	<a href="http://ping.fm/" rel="nofollow">Ping.fm</a>
20091111150250	user409404	@user148495 That sounds perfect for today.	web
20091111151225	user77166	@user537232 Well said that man.	web
20091111213525	user720188	@user125470 Who is doing the censoring?	web
20091115210217	user497859	@user1256607 I use Box2D. Will have to check out Glaze.	<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>
20091117142613	user160826	A flower was offered to me, / Such a flower as May never bore;	<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>
20091120212430	user1958330	Arm is numb! Can't feel it! Argh! Dx	<a href="/devices" rel="nofollow">txt</a>
20091120225858	user183024	@user219442 for now.	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20091123061528	user757221	perfect time to go out ~.~ so bored at home	web
20091123100725	user195523	GARMIN USA INC 010-10607-00 ONLY $33.79 AT WWW.CONSUMERELECTRONICSPLAZA.COM	<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>
20091125023415	user328441	estoy on fire xD el que sae sae no ma'	<a href="http://www.twitzap.com" rel="nofollow">TwitZap</a>
20091126000714	user985592	http://revistaquem.globo.com/Revista/Quem/0,,EMI106565-9531,00-ANGELINA+JOLIE+E+JOHNNY+DEEP+ATORES+GRAVAM+CENAS+QUENTES+DE+SEXO.html	web
20091127154557	user4082160	@user882735 kak,besok ec ga??	web
20091128163511	user1004367	@user4516518 ahahaha.... ma secondo me tu stai in fdp o sain sophia! io stay in saint alexander	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20091129033540	user1450451	Watching Home Alone 2 with the bestie @user4578296. Loving it.	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20091129222814	user2132420	@user1582612 Spring time. Good idea. I hate the cold!	web
20091129224539	user1169140	I wish i could repeatedly 'cancel meetings' with the police when i wanted to, must be nice...	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20091130052549	user315073	Yeah can't do it.. Starting to get tight in my chest from anxiety. "To Catch a Predator" it is.	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091130085231	user299377	[68] If you want 100 followers a day use http://retwt.me/1KuQk .	<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>
20091203202400	user2672237	Increasing your capacity prepares you for wealth transfer, influence influencers.	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20091205130737	user2682942	ahh, alibi aja nihh.. hayoo lohh.. tanggung jawab.. haahaahaa :P RT @user5103325: @user2682942 ahha, gga jatooh sndirii tuhh motorr,	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20091206224318	user3047642	What do I choose? Red YouR Dead or a Fuji Classic Track? Damn this is harder than pickin out kicks for the day.	<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>
20091207013655	user139226	@user837615 NAO LIGA NAO MANO SOU ANALFABETO MESMO E VC COMO FOI NO ENEM?	web
20091209215255	user110912	@user201555 she's such a tart isn't she ;-) @user204577	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20091210155013	user234616	RT @user5277389: I am so thankful that 5 bad brothers from the Beantown Land decided on #ComingHome! @user153926	web
20091211181747	user3833008	@user1024689 thats right P put God first he will always protect you!!!!	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091212093124	user69488	RT @user595615 maana presento examen de titulacion, mandales una ida a la verga a mis sinodales #ruben #liliana #lu... http://bit.ly/8HvHaJ	web
20091212223904	user74628	curb alert - futon frame (white) (Dumfries): I got a new frame for the house, this still works just don't need it a... http://bit.ly/4HgM0D	<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>
20091213112105	user4602062	oh gampang2 to. trus finalnya lawan sapa? China? RT @user4600735 iyalah lawanya gampang gampang kan cuman seagames jd nya enak kalo ntn men	web
20091213231634	user686817	#Hiring a Cyber Computer Network Defense Security Engin in Herndon, VA - http://wpo.st/IIE #jobs #careers	<a href="http://www.washingtonpost.com/wl/jobs" rel="nofollow">Washington Post Jobs</a>
20091214042517	user2531613	RT @user1813579: http://bit.ly/80mgrh eLZhi"The Leftovers"Unmixedtape @user4435060 @user1210920 @user2531613 @user422032 @user347965	<a href="http://twidroid.com" rel="nofollow">twidroid</a>
20091215144308	user783441	@user176298 Ja wenn das so is?! Häbbi Börsdäi tu yuuu, häbbi börsdai tu yuuuuuu *sing* häbbi börsdai dier maybeedeluxe, häbbi börsdai 2 u	web
20091215154245	user4220248	@user180084 RANDEHHHHH &lt;3333333 xxxx	web
20091215215725	user753667	RT @user133203: 幹事してくれた @user767767 @user6643 に感謝	<a href="http://sites.google.com/site/yorufukurou/" rel="nofollow">YoruFukurou</a>
20091216060952	user6314868	@user466067 she jumped in my car lol	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20091216152831	user4538531	@user6219541 why Gatwick airport? Can't you come to Birmingham? :) x x x x x x x x x x x x x x x x x x	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091216174711	user2298832	sd:organic cheese plate-old world portuguese,sage cheddar,goat dry jack,fire house smoked cheddar,fig jam,ciabatta,candied walnuts and figs.	web
20091216193728	user171353	@user364340 Listen girl, I have only sued FFVII Crisis Core on PSP. #hatredforconsolesrunsdeep	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20091216231905	user608772	@user1055370 happy? your back on my phone XD	web
20091218015740	user4156810	BlackBerry users dealing with e-mail outage - again -via AP http://bit.ly/4EI2EN /via @user279756	<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>
20091218104205	user896513	Parabéns! RT @user496814 Esta é uma grande vitória porque, apesar de toda a crise, estamos cumprindo com os pgtos de nossos servidores	<a href="http://twidroid.com" rel="nofollow">twidroid</a>
20091218190355	user80390	FTSK shirt &lt;3	<a href="/devices" rel="nofollow">txt</a>
20091221230717	user6869928	Finally,I got one!Twitter!lets see if its not gay as myspace or facebook! lol	web
20091222192835	user268802	@user5941651 TADINHO DO DANIEL. RSRS	web
20091222193046	user4471811	#Cincinnati -	<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>
20091223034748	user6860379	@user945066 you bumped that clipse album yet?	<a href="http://code.google.com/p/pocketwit/" rel="nofollow">PockeTwit</a>
20091223171734	user360184	@user1010410 lol why would u say dat	<a href="http://twidroid.com" rel="nofollow">twidroid</a>
20091225231834	user83364	pengen foto sama bule, malah ketemu bule kebumen #holidayfact	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091228050909	user831165	Ah sebel baru bgn dan nembus,ganti seprai deh -,- http://myloc.me/2prQv	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20091228112405	user6611017	Día de los santos inocentes....con una mano adelante y otra atrás cuidándome de alguna tallita	web
20091230092801	user2464879	@user7614093 ngadepin mereka ruth astagaaaaaaaa!	web
20091230100225	user4887667	http://vimeo.com/4749536 Слов нет:)	web
20091231230928	user7763087	@user5039599 not doin shit could be better im not gonna be doing anything all night but idc lol	web
20100101063139	user4331630	Photo: LMFAO! http://tumblr.com/x40552mud	<a href="http://www.tumblr.com/" rel="nofollow">Tumblr</a>
20100101065035	user7792875	@user229454 Happy New Year	<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>
20100101111450	user6737598	@user19801 keluar kota or luar negri? lagi ngeTWeet aza ne. km?	<a href="http://dabr.co.uk" rel="nofollow">dabr</a>
20100101170217	user6276031	Fresno:- Check out iNews for Local Breaking News in 2010 - http://iNewsFresno.com or select your city at http://iNewsUSA.com	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20100101233425	user7727393	Hollywood races 2 make a film about Tiger Woods' womanising Cuba Gooding Jr is said to be one of those being lined-up 2 play the golfer	web
20100102024129	user1590371	Check this video out -- Solitary Worship I Need You Now Part 1 http://bit.ly/7g6tSZ mime from former church cool stuff	web
20100102203256	user289965	i'm about to stop "going offline" on fb chat.. its 2010 i'm not about to be ducking hoes that i dont even know. it's gonna be GREEN	<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>
20100103050258	user7158819	@user3441677 jajajaja wn deya te senti bn? jajajajaja	web
20100103233025	user4969008	Why do a lot of lesbians ONLY hang out with other lesbians?	web
20100104025925	user7256034	@user354980 it doesnt make any sense how hot that #G2!! watchin him on his ustream and i only heard 2 songs!! lovin it	web
20100105193134	user1236226	Lurk lurk lurk	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20100106174929	user5268718	Who the FUCK heated up fish 4 lunch...now the whole place smells like cooter http://myloc.me/2FCfJ	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
